"","Company","CPU_model","Precio.mediana","Precio.promedio","Precio.maximo","Precio.minimo","Recuento"
"1","Acer","A10-Series 9620P",579,579,579,579,1
"2","Acer","A12-Series 9720P",659,659,659,659,1
"3","Acer","A8-Series 7410",449,435,469,387,3
"4","Acer","A9-Series 9420",409,416.2,451,395,5
"5","Acer","Celeron Dual Core 3205U",204,235.25,359,174,4
"6","Acer","Celeron Dual Core 3855U",375,375,375,375,1
"7","Acer","Celeron Dual Core N3050",269,269,269,269,1
"8","Acer","Celeron Dual Core N3060",349,349.142857142857,435,289,7
"9","Acer","Celeron Dual Core N3350",340.5,325.5,349,272,4
"10","Acer","Celeron Quad Core N3160",379,379,379,379,1
"11","Acer","Celeron Quad Core N3450",329,329,329,329,1
"12","Acer","Core i3 6006U",448,462.466666666667,629,361.8,12
"13","Acer","Core i3 7100U",499,523.4,636,384,5
"14","Acer","Core i3 7130U",572,565.2,702,367,5
"15","Acer","Core i5 6200U",672,672,689,655,2
"16","Acer","Core i5 7200U",619,700.345454545455,1009,441.8,11
"17","Acer","Core i5 7300HQ",822,913,1299,709,4
"18","Acer","Core i5 7Y54",989,989,989,989,1
"19","Acer","Core i5 8250U",787.5,782.99875,999,613,8
"20","Acer","Core i7 6500U",789.01,789.01,789.01,789.01,1
"21","Acer","Core i7 6700HQ",1935,1935,1935,1935,1
"22","Acer","Core i7 7500U",700.5,718,832,639,4
"23","Acer","Core i7 7700HQ",979,1377.28571428571,2599,779,7
"24","Acer","Core i7 7Y75",1149,1149,1149,1149,1
"25","Acer","Core i7 8550U",841,822,951,689,5
"26","Acer","Pentium Quad Core N3710",417,417,485,349,2
"27","Acer","Pentium Quad Core N4200",363.51,347.17,380,298,3
"28","Apple","Core M",1222,1226.75,1300,1163,4
"29","Apple","Core M m3",1262.4,1262.4,1262.4,1262.4,1
"30","Apple","Core i5",1379.345,1391.94833333333,2040,898.94,12
"31","Apple","Core i7",2488.71,2493.8475,2858,2139.97,4
"32","Asus","A10-Series A10-9620P",575,575,575,575,1
"33","Asus","A9-Series 9420",436,436,469,403,2
"34","Asus","Atom x5-Z8350",191.9,191.9,191.9,191.9,1
"35","Asus","Celeron Dual Core N3050",369,369,369,369,2
"36","Asus","Celeron Dual Core N3060",287.9,287.9,287.9,287.9,1
"37","Asus","Celeron Dual Core N3350",299,316.266,419,224,15
"38","Asus","Core M 6Y30",729,729,729,729,1
"39","Asus","Core M M3-6Y30",669,669,669,669,1
