"","CPU_model","Precio.mediana","Precio.promedio","Precio.maximo","Precio.minimo","Recuento"
"1","A10-Series 9600P",534,534,569,499,2
"2","A10-Series 9620P",617.005,617.005,655.01,579,2
"3","A10-Series A10-9620P",571.95,571.95,575,568.9,2
"4","A12-Series 9700P",629,629,629,629,1
"5","A12-Series 9720P",597.57,658.795714285714,949,429,7
"6","A4-Series 7210",379,379,379,379,1
"7","A6-Series 7310",298,298,298,298,1
"8","A6-Series 9220",398.745,403.81125,519,309,8
"9","A6-Series A6-9220",462.395,462.395,478.89,445.9,2
"10","A8-Series 7410",459,448.5,489,387,4
"11","A9-Series 9410",549.99,549.99,549.99,549.99,1
"12","A9-Series 9420",438.5,445.824166666667,520.9,395,12
"13","A9-Series A9-9420",649.5,649.5,650,649,2
"14","Atom X5-Z8350",203.4,203.4,210.8,196,2
"15","Atom Z8350",265,265,265,265,1
"16","Atom x5-Z8300",244.99,244.99,244.99,244.99,1
"17","Atom x5-Z8350",248.9,236.76,255,191.9,5
"18","Atom x5-Z8550",514,498.3175,646.27,319,4
"19","Celeron Dual Core 3205U",204,235.25,359,174,4
"20","Celeron Dual Core 3855U",375,384.3,459.9,318,3
"21","Celeron Dual Core N3050",369,323,379,229,5
"22","Celeron Dual Core N3060",289,307.508,475,209,25
"23","Celeron Dual Core N3350",299,322.191212121212,615,202.9,33
"24","Celeron Quad Core N3160",352,352,379,325,2
"25","Celeron Quad Core N3450",389,417.8,553,329,5
"26","Celeron Quad Core N3710",329,329,329,329,1
"27","Core M",1222,1226.75,1300,1163,4
"28","Core M 6Y30",729,729,729,729,1
"29","Core M 6Y54",1699,1699,1699,1699,1
"30","Core M 6Y75",1965,2077.2,3100,1399,5
"31","Core M 7Y30",603,603,603,603,1
"32","Core M M3-6Y30",669,669,669,669,1
"33","Core M M7-6Y75",1159,1159,1159,1159,1
"34","Core M m3",1262.4,1262.4,1262.4,1262.4,1
"35","Core M m3-7Y30",989,989,989,989,1
"36","Core M m7-6Y75",1299,1299,1299,1299,1
"37","Core i3 6006U",469,492.608888888889,849,339,81
"38","Core i3 6100U",677.575,720.124,1166.97,459,10
"39","Core i3 7100U",597,599.616285714286,949,384,35
"40","Core i3 7130U",599,581.75,702,367,8
"41","Core i5",1379.345,1391.94833333333,2040,898.94,12
"42","Core i5 6200U",1083.5,1044.23823529412,1690,398,68
"43","Core i5 6260U",1199,1199,1199,1199,1
"44","Core i5 6300HQ",1129,1187.81142857143,2250.68,579,7
"45","Core i5 6300U",1535,1483.00818181818,2103.34,1046.44,11
"46","Core i5 6440HQ",1369,1369,1369,1369,1
"47","Core i5 7200U",846.5,919.318082901554,2330,393.9,193
"48","Core i5 7300HQ",999,1093.72939393939,2051,709,33
"49","Core i5 7300U",1273.865,1258.85071428571,1760,869,14
"50","Core i5 7440HQ",1205,1342.198,1860.99,1089,5
"51","Core i5 7500U",1082,1082,1082,1082,1
"52","Core i5 7Y54",1813,1567,1899,989,3
"53","Core i5 7Y57",1417,1417,1559,1275,2
"54","Core i5 8250U",857,944.038055555556,1869,521.47,72
"55","Core i7",2488.71,2493.8475,2858,2139.97,4
"56","Core i7 6500U",1399,1380.70976744186,2339,629,43
"57","Core i7 6560U",1799,1799,1799,1799,1
"58","Core i7 6600U",1910.49,1931.74166666667,2620,1449,18
"59","Core i7 6700HQ",1561,1700.98902439024,3949.4,799,41
"60","Core i7 6820HK",2706.495,2555.763,3975,1279,10
"61","Core i7 6820HQ",2338,2347.71428571429,2968,1975,7
"62","Core i7 6920HQ",2799,2799,2799,2799,1
"63","Core i7 7500U",1224,1348.97421052632,2824,579,133
"64","Core i7 7560U",1379,1379,1379,1379,2
"65","Core i7 7600U",1775,1915.71076923077,3299,1099,13
"66","Core i7 7660U",2240,2209.33333333333,2589,1799,3
"67","Core i7 7700HQ",1679,1762.3512244898,3659.4,779,147
"68","Core i7 7820HK",2999,3832.67857142857,6099,2729,7
"69","Core i7 7820HQ",2090,2076.972,2884.86,1427,5
"70","Core i7 7Y75",1899,1781.82,2199,1149,5
"71","Core i7 8550U",1103,1206.54,2499,609,73
"72","Core i7 8650U",1452.98,1452.98,1607.96,1298,2
"73","Cortex A72&A53",659,659,659,659,1
"74","E-Series 6110",277.99,277.99,277.99,277.99,1
"75","E-Series 7110",323,323,349,297,2
"76","E-Series 9000",299,299,299,299,1
"77","E-Series 9000e",330,330,330,330,1
"78","E-Series E2-6110",199,199,199,199,1
"79","E-Series E2-9000",349,349,349,349,1
"80","E-Series E2-9000e",303.5,303.5,349,258,2
"81","FX 8800P",999,999,999,999,1
"82","FX 9830P",699,699,699,699,1
"83","Pentium Dual Core 4405U",499,499,499,499,1
"84","Pentium Dual Core 4405Y",615,615,615,615,1
"85","Pentium Dual Core N4200",581.9,581.9,581.9,581.9,1
"86","Pentium Quad Core N3700",418.74,418.74,443.99,393.49,2
"87","Pentium Quad Core N3710",389,411.09,530,309,11
"88","Pentium Quad Core N4200",371.755,429.345,775,298,14
"89","Ryzen 1600",1695,1695,1695,1695,1
"90","Ryzen 1700",1549,1682.33333333333,2199,1299,3
"91","Xeon E3-1505M V6",2524,2524,3055,1993,2
"92","Xeon E3-1535M v5",4389,4389,4389,4389,1
"93","Xeon E3-1535M v6",4899,4899,4899,4899,1
